,Kingdom,Phylum,Class,Subclass,Order,Family,Genus,Species,8,9,10
Paracyathus pruinosus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Paracyathus,Paracyathus pruinosus,,,
Flabellum (Flabellum) gardineri,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum (Flabellum),Flabellum (Flabellum) gardineri,,
Labyrinthocyathus limatulus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Labyrinthocyathus,Labyrinthocyathus limatulus,,,
Flabellum (Ulocyathus) apertum apertum,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum (Ulocyathus),Flabellum (Ulocyathus) apertum,Flabellum (Ulocyathus) apertum apertum,
Fungiacyathus (Fungiacyathus) pusillus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Fungiacyathidae,Fungiacyathus,Fungiacyathus (Fungiacyathus),Fungiacyathus (Fungiacyathus) pusillus,,
Fungiacyathus (Bathyactis) crispus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Fungiacyathidae,Fungiacyathus,Fungiacyathus (Bathyactis),Fungiacyathus (Bathyactis) crispus,,
Fungiacyathus (Bathyactis) marenzelleri,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Fungiacyathidae,Fungiacyathus,Fungiacyathus (Bathyactis),Fungiacyathus (Bathyactis) marenzelleri,,
Balanophyllia (Balanophyllia) bayeri,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,Balanophyllia (Balanophyllia),Balanophyllia (Balanophyllia) bayeri,,
Heterocyathus aequicostatus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Heterocyathus,Heterocyathus aequicostatus,,,
Pourtalopsammia togata,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Pourtalopsammia,Pourtalopsammia togata,,,
Balanophyllia (Eupsammia) caribbeana,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,Balanophyllia (Eupsammia),Balanophyllia (Eupsammia) caribbeana,,
Balanophyllia (Eupsammia) pittieri,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,Balanophyllia (Eupsammia),Balanophyllia (Eupsammia) pittieri,,
Balanophyllia (Balanophyllia) wellsi,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,Balanophyllia (Balanophyllia),Balanophyllia (Balanophyllia) wellsi,,
Balanophyllia (Balanophyllia) dineta,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,Balanophyllia (Balanophyllia),Balanophyllia (Balanophyllia) dineta,,
Thalamophyllia gombergi,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Thalamophyllia,Thalamophyllia gombergi,,,
Balanophyllia (Balanophyllia) hadros,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,Balanophyllia (Balanophyllia),Balanophyllia (Balanophyllia) hadros,,
Desmophyllum striatum,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Desmophyllum,Desmophyllum striatum,,,
Trochocyathus (Trochocyathus) fossulus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Trochocyathus,Trochocyathus (Trochocyathus),Trochocyathus (Trochocyathus) fossulus,,
Stephanocyathus (Stephanocyathus) laevifundus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Stephanocyathus,Stephanocyathus (Stephanocyathus),Stephanocyathus (Stephanocyathus) laevifundus,,
Deltocyathus pourtalesi,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Deltocyathidae,Deltocyathus,Deltocyathus pourtalesi,,,
Polymyces wellsi,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Polymyces,Polymyces wellsi,,,
Bathypsammia fallosocialis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Bathypsammia,Bathypsammia fallosocialis,,,
Flabellum (Flabellum) atlanticum,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum (Flabellum),Flabellum (Flabellum) atlanticum,,
Thecopsammia socialis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Thecopsammia,Thecopsammia socialis,,,
Deltocyathus italicus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Deltocyathidae,Deltocyathus,Deltocyathus italicus,,,
Phacelocyathus flos,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Phacelocyathus,Phacelocyathus flos,,,
Goniocorella dumosa,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Goniocorella,Goniocorella dumosa,,,
Eguchipsammia strigosa,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Eguchipsammia,Eguchipsammia strigosa,,,
Caryophyllia (Caryophyllia) horologium,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) horologium,,
Flabellum (Ulocyathus) moseleyi,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum (Ulocyathus),Flabellum (Ulocyathus) moseleyi,,
Coenocyathus parvulus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Coenocyathus,Coenocyathus parvulus,,,
Bathypsammia tintinnabulum,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Bathypsammia,Bathypsammia tintinnabulum,,,
Trochocyathus (Trochocyathus) fasciatus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Trochocyathus,Trochocyathus (Trochocyathus),Trochocyathus (Trochocyathus) fasciatus,,
Flabellum (Flabellum) floridanum,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum (Flabellum),Flabellum (Flabellum) floridanum,,
Stephanocyathus (Stephanocyathus) paliferus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Stephanocyathus,Stephanocyathus (Stephanocyathus),Stephanocyathus (Stephanocyathus) paliferus,,
Heterocyathus alternatus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Heterocyathus,Heterocyathus alternatus,,,
Caryophyllia (Caryophyllia) antillarum,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) antillarum,,
Leptopenus antarcticus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Micrabaciidae,Leptopenus,Leptopenus antarcticus,,,
Cryptotrochus carolinensis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Turbinoliidae,Cryptotrochus,Cryptotrochus carolinensis,,,
Stephanocyathus (Stephanocyathus) diadema,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Stephanocyathus,Stephanocyathus (Stephanocyathus),Stephanocyathus (Stephanocyathus) diadema,,
Leptopsammia chevalieri,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Leptopsammia,Leptopsammia chevalieri,,,
Tethocyathus variabilis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Tethocyathus,Tethocyathus variabilis,,,
Deltocyathus eccentricus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Deltocyathidae,Deltocyathus,Deltocyathus eccentricus,,,
Deltocyathus moseleyi,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Deltocyathidae,Deltocyathus,Deltocyathus moseleyi,,,
Phyllangia papuensis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Phyllangia,Phyllangia papuensis,,,
Madrepora minutiseptum,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Oculinidae,Madrepora,Madrepora minutiseptum,,,
Madracis brueggemanni,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Pocilloporidae,Madracis,Madracis brueggemanni,,,
Placotrochides frustum,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Placotrochides,Placotrochides frustum,,,
Madracis pharensis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Pocilloporidae,Madracis,Madracis pharensis,,,
Madracis asperula,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Pocilloporidae,Madracis,Madracis asperula,,,
Caryophyllia (Caryophyllia) polygona,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) polygona,,
Polycyathus octuplus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Polycyathus,Polycyathus octuplus,,,
Pourtalosmilia anthophyllites,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Pourtalosmilia,Pourtalosmilia anthophyllites,,,
Anomocora prolifera,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Anomocora,Anomocora prolifera,,,
Premocyathus dentiformis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Premocyathus,Premocyathus dentiformis,,,
Caryophyllia (Caryophyllia) smithii,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) smithii,,
Oxysmilia rotundifolia,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Oxysmilia,Oxysmilia rotundifolia,,,
Cladopsammia manuelensis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Cladopsammia,Cladopsammia manuelensis,,,
Tethocyathus cylindraceus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Tethocyathus,Tethocyathus cylindraceus,,,
Sphenotrochus (Eusthenotrochus) auritus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Turbinoliidae,Sphenotrochus,Sphenotrochus (Eusthenotrochus),Sphenotrochus (Eusthenotrochus) auritus,,
Coenosmilia arbuscula,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Coenosmilia,Coenosmilia arbuscula,,,
Flabellum (Flabellum) knoxi,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum (Flabellum),Flabellum (Flabellum) knoxi,,
Sphenotrochus (Sphenotrochus) lindstroemi,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Turbinoliidae,Sphenotrochus,Sphenotrochus (Sphenotrochus),Sphenotrochus (Sphenotrochus) lindstroemi,,
Tethocyathus recurvatus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Tethocyathus,Tethocyathus recurvatus,,,
Eguchipsammia cornucopia,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Eguchipsammia,Eguchipsammia cornucopia,,,
Guynia annulata,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Guyniidae,Guynia,Guynia annulata,,,
Anomocora fecunda,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Anomocora,Anomocora fecunda,,,
Pourtalosmilia conferta,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Pourtalosmilia,Pourtalosmilia conferta,,,
Anomocora marchadi,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Anomocora,Anomocora marchadi,,,
Dendrophyllia alternata,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Dendrophyllia,Dendrophyllia alternata,,,
Deltocyathus agassizi,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Deltocyathidae,Deltocyathus,Deltocyathus agassizi,,,
Balanophyllia (Balanophyllia) palifera,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,Balanophyllia (Balanophyllia),Balanophyllia (Balanophyllia) palifera,,
Balanophyllia (Balanophyllia) cyathoides,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,Balanophyllia (Balanophyllia),Balanophyllia (Balanophyllia) cyathoides,,
Polycyathus mayae,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Polycyathus,Polycyathus mayae,,,
Sphenotrochus (Sphenotrochus) andrewianus moorei,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Turbinoliidae,Sphenotrochus,Sphenotrochus (Sphenotrochus),Sphenotrochus (Sphenotrochus) andrewianus,Sphenotrochus (Sphenotrochus) andrewianus moorei,
Rhizosmilia maculata,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Rhizosmilia,Rhizosmilia maculata,,,
Deltocyathoides stimpsonii,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Turbinoliidae,Deltocyathoides,Deltocyathoides stimpsonii,,,
Tethocyathus prahli,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Tethocyathus,Tethocyathus prahli,,,
Trematotrochus corbicula,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Turbinoliidae,Trematotrochus,Trematotrochus corbicula,,,
Caryophyllia (Caryophyllia) crypta,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) crypta,,
Conotrochus brunneus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Conotrochus,Conotrochus brunneus,,,
Flabellum (Ulocyathus) marcus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum (Ulocyathus),Flabellum (Ulocyathus) marcus,,
Caryophyllia (Caryophyllia) arnoldi,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) arnoldi,,
Coenocyathus bowersi,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Coenocyathus,Coenocyathus bowersi,,,
Balanophyllia (Balanophyllia) elegans,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,Balanophyllia (Balanophyllia),Balanophyllia (Balanophyllia) elegans,,
Guyniidae,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Guyniidae,,,,,
Caryophyllia (Caryophyllia) alaskensis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) alaskensis,,
Heterocyathus sulcatus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Heterocyathus,Heterocyathus sulcatus,,,
Cladopsammia echinata,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Cladopsammia,Cladopsammia echinata,,,
Javania pseudoalabastra,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Javania,Javania pseudoalabastra,,,
Dendrophyllia oldroydae,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Dendrophyllia,Dendrophyllia oldroydae,,,
Cladocora arbuscula,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Scleractinia incertae sedis,Cladocora,Cladocora arbuscula,,,
Balanophyllia (Eupsammia) carinata,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,Balanophyllia (Eupsammia),Balanophyllia (Eupsammia) carinata,,
Balanophyllia (Balanophyllia) thalassae,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,Balanophyllia (Balanophyllia),Balanophyllia (Balanophyllia) thalassae,,
Trochopsammia infundibulum,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Trochopsammia,Trochopsammia infundibulum,,,
Caryophyllia (Caryophyllia) sarsiae,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) sarsiae,,
Caryophyllia (Caryophyllia) corrugata,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) corrugata,,
Caryophyllia (Caryophyllia) zopyros,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) zopyros,,
Caryophyllia (Caryophyllia) paucipalata,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) paucipalata,,
Coenocyathus anthophyllites,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Coenocyathus,Coenocyathus anthophyllites,,,
Balanophyllia (Eupsammia) imperialis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,Balanophyllia (Eupsammia),Balanophyllia (Eupsammia) imperialis,,
Balanophyllia (Eupsammia) stimpsonii,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,Balanophyllia (Eupsammia),Balanophyllia (Eupsammia) stimpsonii,,
Coenocyathus brooki,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Coenocyathus,Coenocyathus brooki,,,
Cladopsammia eguchii,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Cladopsammia,Cladopsammia eguchii,,,
Bathycyathus chilensis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Bathycyathus,Bathycyathus chilensis,,,
Caryophyllia (Caryophyllia) calveri,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) calveri,,
Anomocora gigas,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Anomocora,Anomocora gigas,,,
Thalamophyllia tenuescens,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Thalamophyllia,Thalamophyllia tenuescens,,,
Rhizosmilia multipalifera,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Rhizosmilia,Rhizosmilia multipalifera,,,
Rhizopsammia annae,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Rhizopsammia,Rhizopsammia annae,,,
Rhizosmilia robusta,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Rhizosmilia,Rhizosmilia robusta,,,
Caryophyllia (Caryophyllia) profunda,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) profunda,,
Caryophyllia (Caryophyllia) quadragenaria,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) quadragenaria,,
Stephanocyathus (Odontocyathus) campaniformis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Stephanocyathus,Stephanocyathus (Odontocyathus),Stephanocyathus (Odontocyathus) campaniformis,,
Stephanocyathus (Acinocyathus) spiniger,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Stephanocyathus,Stephanocyathus (Acinocyathus),Stephanocyathus (Acinocyathus) spiniger,,
Sphenotrochus (Sphenotrochus) gardineri,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Turbinoliidae,Sphenotrochus,Sphenotrochus (Sphenotrochus),Sphenotrochus (Sphenotrochus) gardineri,,
Caryophyllia (Caryophyllia) ralphae,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) ralphae,,
Stephanocyathus (Acinocyathus) explanans,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Stephanocyathus,Stephanocyathus (Acinocyathus),Stephanocyathus (Acinocyathus) explanans,,
Tethocyathus virgatus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Tethocyathus,Tethocyathus virgatus,,,
Stephanocyathus (Odontocyathus) nobilis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Stephanocyathus,Stephanocyathus (Odontocyathus),Stephanocyathus (Odontocyathus) nobilis,,
Stephanocyathus (Stephanocyathus) moseleyanus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Stephanocyathus,Stephanocyathus (Stephanocyathus),Stephanocyathus (Stephanocyathus) moseleyanus,,
Stephanocyathus (Odontocyathus) weberianus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Stephanocyathus,Stephanocyathus (Odontocyathus),Stephanocyathus (Odontocyathus) weberianus,,
Stephanocyathus (Stephanocyathus) crassus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Stephanocyathus,Stephanocyathus (Stephanocyathus),Stephanocyathus (Stephanocyathus) crassus,,
Stephanocyathus (Stephanocyathus) regius,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Stephanocyathus,Stephanocyathus (Stephanocyathus),Stephanocyathus (Stephanocyathus) regius,,
Tethocyathus endesa,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Tethocyathus,Tethocyathus endesa,,,
Caryophyllia (Caryophyllia) seguenzae,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) seguenzae,,
Caryophyllia (Caryophyllia) grandis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) grandis,,
Stephanocyathus (Stephanocyathus) platypus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Stephanocyathus,Stephanocyathus (Stephanocyathus),Stephanocyathus (Stephanocyathus) platypus,,
Rhizopsammia verrilli,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Rhizopsammia,Rhizopsammia verrilli,,,
Sympodangia albatrossi,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Sympodangia,Sympodangia albatrossi,,,
Anthemiphyllia macrolobata,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Anthemiphylliidae,Anthemiphyllia,Anthemiphyllia macrolobata,,,
Caryophyllia (Caryophyllia) solida,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) solida,,
Caryophyllia (Caryophyllia) squiresi,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) squiresi,,
Caryophyllia (Caryophyllia) stellula,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) stellula,,
Caryophyllia (Caryophyllia) transversalis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) transversalis,,
